Iterations,Accuracy
1062,0.555556
1063,0.587302
1064,0.68254
1065,0.571429
1066,0.571429
1067,0.571429
1068,0.555556
1069,0.555556
1070,0.571429
1071,0.68254
1072,0.571429
1073,0.555556
1074,0.666667
1075,0.555556
1076,0.571429
1077,0.698413
1078,0.555556
1079,0.539683
1080,0.555556
1081,0.539683
1082,0.571429
1083,0.634921
1084,0.68254
1085,0.698413
1086,0.698413
1087,0.571429
1088,0.555556
1089,0.571429
1090,0.68254
1091,0.555556
1092,0.698413
1093,0.571429
1094,0.571429
1095,0.571429
1096,0.571429
1097,0.539683
1098,0.68254
1099,0.571429
1100,0.571429
1101,0.571429
1102,0.539683
1103,0.539683
1104,0.571429
1105,0.571429
1106,0.571429
1107,0.555556
1108,0.698413
1109,0.555556
1110,0.68254
1111,0.555556
1112,0.571429
1113,0.571429
1114,0.555556
1115,0.571429
1116,0.650794
1117,0.571429
1118,0.68254
1119,0.555556
1120,0.698413
1121,0.68254
1122,0.68254
1123,0.571429
1124,0.555556
1125,0.571429
1126,0.555556
1127,0.555556
1128,0.571429
1129,0.555556
1130,0.698413
1131,0.571429
1132,0.571429
1133,0.68254
1134,0.714286
1135,0.571429
1136,0.666667
1137,0.714286
1138,0.68254
1139,0.539683
1140,0.539683
1141,0.650794
1142,0.555556
1143,0.555556
1144,0.555556
1145,0.555556
1146,0.539683
1147,0.571429
1148,0.666667
1149,0.555556
1150,0.555556
1151,0.571429
1152,0.68254
1153,0.539683
1154,0.555556
1155,0.555556
1156,0.68254
1157,0.555556
1158,0.571429
1159,0.539683
1160,0.571429
1161,0.539683
1162,0.539683
1163,0.571429
1164,0.555556
1165,0.539683
1166,0.666667
1167,0.714286
1168,0.666667
1169,0.698413
1170,0.571429
1171,0.555556
1172,0.698413
1173,0.555556
1174,0.555556
1175,0.555556
1176,0.68254
1177,0.555556
1178,0.539683
1179,0.539683
1180,0.555556
1181,0.555556
1182,0.555556
1183,0.68254
1184,0.68254
1185,0.650794
1186,0.539683
1187,0.555556
1188,0.68254
1189,0.666667
1190,0.571429
1191,0.555556
1192,0.571429
1193,0.539683
1194,0.555556
1195,0.539683
1196,0.571429
1197,0.555556
1198,0.555556
1199,0.571429
1200,0.555556
1201,0.555556
1202,0.698413
1203,0.68254
1204,0.555556
1205,0.539683
1206,0.634921
1207,0.555556
1208,0.539683
1209,0.555556
1210,0.68254
1211,0.539683
1212,0.539683
1213,0.555556
1214,0.650794
1215,0.555556
1216,0.555556
1217,0.68254
1218,0.68254
1219,0.539683
1220,0.555556
1221,0.539683
1222,0.68254
1223,0.619048
1224,0.68254
1225,0.571429
1226,0.539683
1227,0.555556
1228,0.539683
1229,0.539683
1230,0.539683
1231,0.666667
1232,0.539683
1233,0.555556
1234,0.68254
